,event,type
707,Athletics_at_the_1996_Summer_Olympics,sport
708,Athletics_at_the_1997_Summer_Universiade,sport
709,Athletics_at_the_1998_Asian_Games,sport
710,Athletics_at_the_1998_Commonwealth_Games,sport
711,Athletics_at_the_1999_All-Africa_Games,sport
712,Athletics_at_the_1999_Pan_American_Games,sport
713,Athletics_at_the_1999_Summer_Universiade,sport
714,Athletics_at_the_2000_Summer_Olympics,sport
715,Athletics_at_the_2001_Summer_Universiade,sport
716,Athletics_at_the_2002_Asian_Games,sport
717,Athletics_at_the_2002_Commonwealth_Games,sport
718,Athletics_at_the_2003_All-Africa_Games,sport
719,Athletics_at_the_2003_Pan_American_Games,sport
720,Athletics_at_the_2003_Summer_Universiade,sport
721,Athletics_at_the_2004_Summer_Olympics,sport
722,Athletics_at_the_2005_Summer_Universiade,sport
723,Athletics_at_the_2006_Asian_Games,sport
724,Athletics_at_the_2006_Central_American_and_Caribbean_Games,sport
725,Athletics_at_the_2006_Commonwealth_Games,sport
726,Athletics_at_the_2007_All-Africa_Games,sport
727,Athletics_at_the_2007_Pan_American_Games,sport
728,Athletics_at_the_2007_Summer_Universiade,sport
729,Athletics_at_the_2008_Summer_Olympics,sport
730,Athletics_at_the_2009_Summer_Universiade,sport
731,Athletics_at_the_2010_Asian_Games,sport
732,Athletics_at_the_2010_Commonwealth_Games,sport
733,Athletics_at_the_2010_South_American_Games,sport
734,Athletics_at_the_2010_Summer_Youth_Olympics,sport
735,Athletics_at_the_2011_All-Africa_Games,sport
736,Athletics_at_the_2011_Pan_American_Games,sport
737,Athletics_at_the_2011_Summer_Universiade,sport
738,Athletics_at_the_2012_Summer_Olympics,sport
739,Athletics_at_the_2013_Southeast_Asian_Games,sport
740,Athletics_at_the_2013_Summer_Universiade,sport
741,Athletics_at_the_2014_Asian_Games,sport
742,Athletics_at_the_2014_Commonwealth_Games,sport
743,Athletics_at_the_2014_Summer_Youth_Olympics,sport
744,Athletics_at_the_2015_African_Games,sport
745,Athletics_at_the_2015_Pan_American_Games,sport
746,Athletics_at_the_2015_Parapan_American_Games,sport
747,Athletics_at_the_2015_Southeast_Asian_Games,sport
748,Athletics_at_the_2015_Summer_Universiade,sport
749,Athletics_at_the_2016_Summer_Olympics,sport
750,Athletics_at_the_2016_Summer_Paralympics,sport
751,Athletics_at_the_2017_Summer_Universiade,sport
752,Athletics_at_the_2018_Asian_Games,sport
753,Athletics_at_the_2018_Commonwealth_Games,sport
754,Atlanta_Open_(tennis),sport
755,Austrian_Open_Kitzbühel,sport
756,Austro-Prussian_War,historical
757,Balkan_Wars,historical
758,Balkans_campaign_(World_War_II),historical
759,Balkans_theatre_(World_War_I),historical
760,Banana_Wars,historical
761,Bangladesh_Liberation_War,historical
762,Barbary_Wars,historical
763,Barber_Pro_Series,sport
764,Barcelona_Open_(tennis),sport
765,Battle_for_Caen,historical
766,Battle_of_Aleppo_(2012–2016),historical
767,Battle_of_France,historical
768,Battle_of_Passchendaele,historical
769,Battle_of_Pusan_Perimeter,historical
770,Battle_of_the_Atlantic,historical
771,Battle_of_the_Border,historical
772,Battle_of_the_Bulge,historical
773,Battle_of_the_Frontiers,historical
774,Battle_of_the_Mediterranean,historical
775,Battle_of_the_Somme,historical
776,Battles_of_the_Isonzo,historical
777,Biathlon_at_the_2006_Winter_Olympics,sport
778,Biathlon_at_the_2010_Winter_Olympics,sport
779,Biathlon_at_the_2014_Winter_Olympics,sport
780,Biathlon_at_the_2018_Winter_Olympics,sport
781,Black_Hawk_War,historical
782,Bofrost_Cup_on_Ice,sport
783,Boshin_War,historical
784,Bosnian_War,historical
785,Boxer_Rebellion,historical
786,Boxing_at_the_1952_Summer_Olympics,sport
787,Boxing_at_the_1956_Summer_Olympics,sport
788,Boxing_at_the_1960_Summer_Olympics,sport
789,Boxing_at_the_1964_Summer_Olympics,sport
790,Boxing_at_the_1968_Summer_Olympics,sport
791,Boxing_at_the_1972_Summer_Olympics,sport
792,Boxing_at_the_1976_Summer_Olympics,sport
793,Boxing_at_the_1980_Summer_Olympics,sport
794,Boxing_at_the_1984_Summer_Olympics,sport
795,Boxing_at_the_1988_Summer_Olympics,sport
796,Boxing_at_the_1992_Summer_Olympics,sport
797,Boxing_at_the_1996_Summer_Olympics,sport
798,Boxing_at_the_2000_Summer_Olympics,sport
799,Boxing_at_the_2004_Summer_Olympics,sport
800,Boxing_at_the_2008_Summer_Olympics,sport
801,Boxing_at_the_2012_Summer_Olympics,sport
802,Boxing_at_the_2015_Pan_American_Games,sport
803,Boxing_at_the_2016_Summer_Olympics,sport
804,Breakup_of_Yugoslavia,historical
805,British_Academy_Television_Awards,historical
806,British_Formula_Renault_Championship,sport
807,British_Open_(snooker),sport
808,Burma_campaign,historical
809,Byzantine–Bulgarian_wars,historical
810,Byzantine–Ottoman_wars,historical
811,Byzantine–Sasanian_wars,historical
812,Caesar's_Civil_War,historical
813,Campaign_of_the_Carolinas,historical
814,Canoeing_at_the_1972_Summer_Olympics,sport
815,Canoeing_at_the_1976_Summer_Olympics,sport
816,Canoeing_at_the_1980_Summer_Olympics,sport
817,Canoeing_at_the_1984_Summer_Olympics,sport
818,Canoeing_at_the_1988_Summer_Olympics,sport
819,Canoeing_at_the_1992_Summer_Olympics,sport
820,Canoeing_at_the_1996_Summer_Olympics,sport
821,Canoeing_at_the_2000_Summer_Olympics,sport
822,Canoeing_at_the_2004_Summer_Olympics,sport
823,Canoeing_at_the_2008_Summer_Olympics,sport
824,Canoeing_at_the_2012_Summer_Olympics,sport
825,Canoeing_at_the_2015_Pan_American_Games,sport
826,Canoeing_at_the_2016_Summer_Olympics,sport
827,Carlist_Wars,historical
828,Caucasus_campaign,historical
829,Challenger_de_Gatineau,sport
830,Chechen–Russian_conflict,historical
831,Chinese_Civil_War,historical
832,Classic_(snooker),sport
833,Coalition_Wars,historical
834,Cold_War,historical
835,Continuation_War,historical
836,Creek_War,historical
837,Crimean_War,historical
838,Croatian_War_of_Independence,historical
839,Cross-country_skiing_at_the_1992_Winter_Olympics,sport
840,Cross-country_skiing_at_the_1994_Winter_Olympics,sport
841,Cross-country_skiing_at_the_1998_Winter_Olympics,sport
842,Cross-country_skiing_at_the_2002_Winter_Olympics,sport
843,Cross-country_skiing_at_the_2006_Winter_Olympics,sport
844,Cross-country_skiing_at_the_2010_Winter_Olympics,sport
845,Cross-country_skiing_at_the_2014_Winter_Olympics,sport
846,Cross-country_skiing_at_the_2018_Winter_Olympics,sport
847,Crusades,historical
848,Cuban_War_of_Independence,historical
849,Cycling_at_the_1992_Summer_Olympics,sport
850,Cycling_at_the_1996_Summer_Olympics,sport
851,Cycling_at_the_2000_Summer_Olympics,sport
852,Cycling_at_the_2004_Summer_Olympics,sport
853,Cycling_at_the_2008_Summer_Olympics,sport
854,Cycling_at_the_2012_Summer_Olympics,sport
855,Cycling_at_the_2016_Summer_Olympics,sport
856,Cyprus_Emergency,historical
857,Dakar_Rally,sport
858,Delhi_Open,sport
859,Deluge_(history),historical
860,Diving_at_the_2015_World_Aquatics_Championships,sport
861,Dominican_War_of_Independence,historical
862,Dutch–Portuguese_War,historical
863,Early_insurgency_phase_of_the_Syrian_Civil_War,historical
864,East_African_campaign_(World_War_I),historical
865,East_Asian_Games,sport
866,Eastern_Front_(World_War_I),historical
867,Eastern_Front_(World_War_II),historical
868,Eighty_Years'_War,historical
869,English_Civil_War,historical
870,Estonian_War_of_Independence,historical
871,European_theatre_of_World_War_I,historical
872,European_theatre_of_World_War_II,historical
873,FIA_Sportscar_Championship,sport
874,FIS_Alpine_World_Ski_Championships_2007,sport
875,FIS_Alpine_World_Ski_Championships_2009,sport
876,FIS_Alpine_World_Ski_Championships_2013,sport
877,FIS_Alpine_World_Ski_Championships_2015,sport
878,FIS_Alpine_World_Ski_Championships_2017,sport
879,FIS_Freestyle_World_Ski_Championships_2013,sport
880,Falklands_War,historical
881,Fall_of_the_Western_Roman_Empire,historical
882,Fencing_at_the_1996_Summer_Olympics,sport
883,Fencing_at_the_2000_Summer_Olympics,sport
884,Fencing_at_the_2004_Summer_Olympics,sport
885,Fencing_at_the_2008_Summer_Olympics,sport
886,Fencing_at_the_2011_Pan_American_Games,sport
887,Fencing_at_the_2012_Summer_Olympics,sport
888,Fencing_at_the_2016_Summer_Olympics,sport
889,Finnish_Civil_War,historical
890,Finnish_War,historical
891,First_Balkan_War,historical
892,First_Carlist_War,historical
893,First_Crusade,historical
894,First_English_Civil_War,historical
895,First_Indochina_War,historical
896,First_Opium_War,historical
897,First_Schleswig_War,historical
898,First_Serbian_Uprising,historical
899,First_War_of_Scottish_Independence,historical
900,Football_at_the_2012_Summer_Olympics,sport
901,Football_at_the_2016_Summer_Olympics,sport
902,Franco-Dutch_War,historical
903,Franco-Prussian_War,historical
904,Franco-Spanish_War_(1635–1659),historical
905,Freestyle_skiing_at_the_2014_Winter_Olympics,sport
906,Freestyle_skiing_at_the_2018_Winter_Olympics,sport
907,French_Revolution,historical
908,French_Revolutionary_Wars,historical
909,French_and_Indian_War,historical
910,French_campaign_in_Egypt_and_Syria,historical
911,French_conquest_of_Algeria,historical
912,French_invasion_of_Russia,historical
913,Fórmula_Truck,sport
914,GP2_Series,sport
915,Gallipoli_campaign,historical
916,Gemdale_ATP_Challenger,sport
917,Genpei_War,historical
918,German_Campaign_of_1813,historical
919,German_Formula_Three_Championship,sport
920,German_Unification_Wars,historical
921,Gimcheon_Open_ATP_Challenger,sport
922,Gothic_War_(535–554),historical
923,Grand_Prix_tennis_circuit,sport
924,Great_Northern_War,historical
925,Great_Sioux_War_of_1876,historical
926,Great_Turkish_War,historical
927,Greco-Turkish_War_(1919–1922),historical
928,Greek_War_of_Independence,historical
929,Guelphs_and_Ghibellines,historical
930,Gulf_War,historical
931,Gymnastics_at_the_1904_Summer_Olympics,sport
932,Gymnastics_at_the_1932_Summer_Olympics,sport
933,Gymnastics_at_the_1952_Summer_Olympics,sport
934,Gymnastics_at_the_1956_Summer_Olympics,sport
935,Gymnastics_at_the_1960_Summer_Olympics,sport
936,Gymnastics_at_the_1964_Summer_Olympics,sport
937,Gymnastics_at_the_1968_Summer_Olympics,sport
938,Gymnastics_at_the_1972_Summer_Olympics,sport
939,Gymnastics_at_the_1976_Summer_Olympics,sport
940,Gymnastics_at_the_1980_Summer_Olympics,sport
941,Gymnastics_at_the_1984_Summer_Olympics,sport
942,Gymnastics_at_the_1988_Summer_Olympics,sport
943,Gymnastics_at_the_1992_Summer_Olympics,sport
944,Gymnastics_at_the_1996_Summer_Olympics,sport
945,Gymnastics_at_the_2000_Summer_Olympics,sport
946,Gymnastics_at_the_2004_Summer_Olympics,sport
947,Gymnastics_at_the_2008_Summer_Olympics,sport
948,Gymnastics_at_the_2011_Pan_American_Games,sport
949,Gymnastics_at_the_2012_Summer_Olympics,sport
950,Gymnastics_at_the_2016_Summer_Olympics,sport
951,Haitian_Revolution,historical
952,Hall_of_Fame_Open,sport
953,Huguenot_rebellions,historical
954,Hundred_Days,historical
955,Hundred_Days_Offensive,historical
956,Hundred_Years'_War,historical
957,Hungarian_Revolution_of_1848,historical
958,Hussite_Wars,historical
959,Indian_Rebellion_of_1857,historical
960,Indo-Pakistani_War_of_1971,historical
961,Indochina_Wars,historical
962,Indonesian_National_Revolution,historical
963,Indonesia–Malaysia_confrontation,historical
964,Indoor_athletics_at_the_2017_Asian_Indoor_and_Martial_Arts_Games,sport
965,IndyCar_Series,sport
966,Insurgency_in_Khyber_Pakhtunkhwa,historical
967,Intercommunal_conflict_in_Mandatory_Palestine,historical
968,Internazionali_di_Tennis_Città_di_Vicenza,sport
969,Invasion_of_Normandy,historical
970,Invasion_of_Poland,historical
971,Iran–Iraq_War,historical
972,Iraq_War,historical
973,Iraqi_Civil_War_(2014–2017),historical
974,Iraqi_conflict_(2003–present),historical
975,Iraqi_insurgency_(2003–2011),historical
976,Irish_Confederate_Wars,historical
977,Irish_Rebellion_of_1798,historical
978,Irish_War_of_Independence,historical
979,Israeli–Palestinian_conflict,historical
980,Italian_Wars,historical
981,Italian_campaign_(World_War_II),historical
982,Italian_front_(World_War_I),historical
983,Italian_unification,historical
984,Italo-Turkish_War,historical
985,Jacobite_rising_of_1745,historical
986,Jacobite_risings,historical
987,January_Uprising,historical
988,Japanese_invasions_of_Korea_(1592–1598),historical
989,Judo_at_the_1992_Summer_Olympics,sport
990,Judo_at_the_1996_Summer_Olympics,sport
991,Judo_at_the_2000_Summer_Olympics,sport
992,Judo_at_the_2004_Summer_Olympics,sport
993,Judo_at_the_2008_Summer_Olympics,sport
994,Judo_at_the_2011_Pan_American_Games,sport
995,Judo_at_the_2012_Summer_Olympics,sport
996,Judo_at_the_2016_Summer_Olympics,sport
997,KPIT_MSLTA_Challenger,sport
998,Kamerun_Campaign,historical
999,Karl_Schäfer_Memorial,historical
1000,Kashmir_conflict,historical
1001,Khmelnytsky_Uprising,historical
1002,King_George's_War,historical
1003,King_William's_War,historical
1004,Korea_Cup,sport
1005,Korean_War,historical
1006,Kosovo_War,historical
1007,Kościuszko_Uprising,historical
1008,Kumul_Rebellion,historical
1009,Laotian_Civil_War,historical
1010,Lebanese_Civil_War,historical
1011,Libyan_Civil_War_(2011),historical
1012,Linz_Open,sport
1013,Lithuanian_Crusade,historical
1014,Lithuanian_Wars_of_Independence,historical
1015,Livonian_War,historical
1016,Long_Turkish_War,historical
1017,Luxembourg_Open,sport
1018,Macedonian_front,historical
1019,Maharashtra_Open,sport
1020,Mahdist_War,historical
1021,Malayan_campaign,historical
1022,Mali_War,historical
1023,Mediterranean_and_Middle_East_theatre_of_World_War_II,historical
1024,Mesopotamian_campaign,historical
1025,Metro_Manila_Film_Festival,other
1026,Mexican_Border_War_(1910–1919),historical
1027,Mexican_Drug_War,historical
1028,Mexican_Indian_Wars,historical
1029,Mexican_Revolution,historical
1030,Mexican_War_of_Independence,historical
1031,Mexican–American_War,historical
1032,Miami_Open_(tennis),sport
1033,Middle_Eastern_theatre_of_World_War_I,historical
1034,Mongol_invasion_of_Europe,historical
1035,Mongol_invasions_and_conquests,historical
1036,Morelos_Open,sport
1037,Moro_conflict,historical
1038,Morocco_Tennis_Tour_–_Kenitra,sport
1039,Muslim_conquest_of_Persia,historical
1040,Muslim_conquest_of_the_Levant,historical
1041,NATO_bombing_of_Yugoslavia,historical
1042,Napoleonic_Wars,historical
1043,Naval_warfare_of_World_War_I,historical
1044,Neapolitan_War,historical
1045,New_York_Underground_Film_Festival,other
1046,New_Zealand_Wars,historical
1047,Nigerian_Civil_War,historical
1048,Nine_Years'_War,historical
1049,Nine_Years'_War_(Ireland),historical
1050,Normandy_landings,historical
1051,North_African_campaign,historical
1052,Northern_Seven_Years'_War,historical
1053,Norwegian_campaign,historical
1054,November_Uprising,historical
1055,Open_13,sport
1056,Open_du_Pays_d'Aix,sport
1057,Operation_Bagration,historical
1058,Operation_Banner,historical
1059,Operation_Barbarossa,historical
1060,Operation_Inherent_Resolve,historical
1061,Operation_Overlord,historical
1062,Ottoman–Habsburg_wars,historical
1063,Ottoman–Hungarian_wars,historical
1064,Pacific_Coast_Championships,sport
1065,Pacific_War,historical
1066,Paraguayan_War,historical
1067,Paris_Masters,sport
1068,Peloponnesian_War,historical
1069,Peninsular_War,historical
1070,Philippine_Revolution,historical
1071,Philippines_campaign_(1941–1942),historical
1072,Philippine–American_War,historical
1073,Polish–Muscovite_War_(1605–1618),historical
1074,Polish–Soviet_War,historical
1075,Polish–Swedish_War_(1600–1611),historical
1076,Portuguese_Colonial_War,historical
1077,Portuguese_Restoration_War,historical
1078,Portuguese_conquest_of_the_Banda_Oriental,historical
1079,Powerlifting_at_the_2004_Summer_Paralympics,sport
1080,Powerlifting_at_the_2008_Summer_Paralympics,sport
1081,Powerlifting_at_the_2012_Summer_Paralympics,sport
1082,President's_Cup_(tennis),sport
1083,Prize_of_Moscow_News,sport
1084,Protests_of_2019,historical
1085,Qatar_Open_(tennis),sport
1086,Queen_Anne's_War,historical
1087,Rebellions_of_1837–1838,historical
1088,Reconquista,historical
1089,Reform_War,historical
1090,Revolutions_of_1848,historical
1091,Rhodesian_Bush_War,historical
1092,Romania_during_World_War_I,historical
1093,Roman–Persian_Wars,historical
1094,Rowing_at_the_1976_Summer_Olympics,sport
1095,Rowing_at_the_1980_Summer_Olympics,sport
1096,Rowing_at_the_1984_Summer_Olympics,sport
1097,Rowing_at_the_1988_Summer_Olympics,sport
1098,Rowing_at_the_1992_Summer_Olympics,sport
1099,Rowing_at_the_1996_Summer_Olympics,sport
1100,Rowing_at_the_2000_Summer_Olympics,sport
1101,Rowing_at_the_2002_Asian_Games,sport
1102,Rowing_at_the_2004_Summer_Olympics,sport
1103,Rowing_at_the_2006_Asian_Games,sport
1104,Rowing_at_the_2008_Summer_Olympics,sport
1105,Rowing_at_the_2010_Asian_Games,sport
1106,Rowing_at_the_2010_South_American_Games,sport
1107,Rowing_at_the_2011_Pan_American_Games,sport
1108,Rowing_at_the_2012_Summer_Olympics,sport
1109,Rowing_at_the_2013_Summer_Universiade,sport
1110,Rowing_at_the_2014_Asian_Games,sport
1111,Rowing_at_the_2015_Pan_American_Games,sport
1112,Rowing_at_the_2016_Summer_Olympics,sport
1113,Rowing_at_the_2018_Asian_Games,sport
1114,Russian_Civil_War,historical
1115,Russian_Revolution,historical
1116,Russian_military_intervention_in_Ukraine_(2014–present),historical
1117,Russo-Japanese_War,historical
1118,Russo-Polish_War_(1654–1667),historical
1119,Russo-Swedish_War_(1788–1790),historical
1120,Russo-Turkish_War_(1787–1792),historical
1121,Russo-Turkish_War_(1877–1878),historical
1122,SCCA_Continental_Championship,sport
1123,Sailing_at_the_1920_Summer_Olympics,sport
1124,Sailing_at_the_1992_Summer_Olympics,sport
1125,Sailing_at_the_1996_Summer_Olympics,sport
1126,Sailing_at_the_2000_Summer_Olympics,sport
1127,Sailing_at_the_2004_Summer_Olympics,sport
1128,Sailing_at_the_2008_Summer_Olympics,sport
1129,Sailing_at_the_2012_Summer_Olympics,sport
1130,Sailing_at_the_2016_Summer_Olympics,sport
1131,Santaizi_ATP_Challenger,sport
1132,Saudi_Arabian-led_intervention_in_Yemen,historical
1133,Scanian_War,historical
1134,Second_Anglo-Afghan_War,historical
1135,Second_Anglo-Dutch_War,historical
1136,Second_Anglo-Maratha_War,historical
1137,Second_Boer_War,historical
1138,Second_Chechen_War,historical
1139,Second_French_intervention_in_Mexico,historical
1140,Second_Italo-Ethiopian_War,historical
1141,Second_Northern_War,historical
1142,Second_Opium_War,historical
1143,Second_Sino-Japanese_War,historical
1144,Sengoku_period,historical
1145,Seoul_Open,sport
1146,Seven_Years'_War,historical
1147,Shanghai_Masters_(tennis),sport
1148,Shooting_at_the_1908_Summer_Olympics,sport
1149,Shooting_at_the_1912_Summer_Olympics,sport
1150,Shooting_at_the_1920_Summer_Olympics,sport
1151,Shooting_at_the_1924_Summer_Olympics,sport
1152,Shooting_at_the_1984_Summer_Olympics,sport
1153,Shooting_at_the_1988_Summer_Olympics,sport
1154,Shooting_at_the_1992_Summer_Olympics,sport
1155,Shooting_at_the_1996_Summer_Olympics,sport
1156,Shooting_at_the_2000_Summer_Olympics,sport
1157,Shooting_at_the_2004_Summer_Olympics,sport
1158,Shooting_at_the_2008_Summer_Olympics,sport
1159,Shooting_at_the_2011_Pan_American_Games,sport
1160,Shooting_at_the_2012_Summer_Olympics,sport
1161,Shooting_at_the_2016_Summer_Olympics,sport
1162,Siege_of_Leningrad,historical
1163,Silesian_Wars,historical
1164,Sinai_and_Palestine_campaign,historical
1165,Sino-French_War,historical
1166,Sioux_Wars,historical
1167,Sixty_Years'_War,historical
1168,Snowboarding_at_the_2014_Winter_Olympics,sport
1169,Snowboarding_at_the_2018_Winter_Olympics,sport
1170,Somalia_War_(2006–2009),historical
1171,Soviet–Afghan_War,historical
1172,Spain_and_the_American_Revolutionary_War,historical
1173,Spanish_American_wars_of_independence,historical
1174,Spanish_Civil_War,historical
1175,Spanish_conquest_of_Peru,historical
1176,Spanish–American_War,historical
1177,Sparkassen_Open,sport
1178,Speed_skating_at_the_1988_Winter_Olympics,sport
1179,Speed_skating_at_the_1992_Winter_Olympics,sport
1180,Speed_skating_at_the_1994_Winter_Olympics,sport
1181,Speed_skating_at_the_1998_Winter_Olympics,sport
1182,Speed_skating_at_the_2002_Winter_Olympics,sport
1183,Speed_skating_at_the_2006_Winter_Olympics,sport
1184,Speed_skating_at_the_2007_Asian_Winter_Games,sport
1185,Speed_skating_at_the_2010_Winter_Olympics,sport
1186,Speed_skating_at_the_2011_Asian_Winter_Games,sport
1187,Speed_skating_at_the_2014_Winter_Olympics,sport
1188,Speed_skating_at_the_2017_Asian_Winter_Games,sport
1189,Speed_skating_at_the_2018_Winter_Olympics,sport
1190,Spillover_of_the_Syrian_Civil_War,historical
1191,Sri_Lankan_Civil_War,historical
1192,St._Petersburg_Open,sport
1193,Stockholm_Open,sport
1194,Superstars_Series,sport
1195,Swedish_invasion_of_Russia,historical
1196,Swimming_at_the_1904_Summer_Olympics,sport
1197,Swimming_at_the_1920_Summer_Olympics,sport
1198,Swimming_at_the_1924_Summer_Olympics,sport
1199,Swimming_at_the_1928_Summer_Olympics,sport
1200,Swimming_at_the_1932_Summer_Olympics,sport
1201,Swimming_at_the_1936_Summer_Olympics,sport
1202,Swimming_at_the_1948_Summer_Olympics,sport
1203,Swimming_at_the_1952_Summer_Olympics,sport
1204,Swimming_at_the_1956_Summer_Olympics,sport
1205,Swimming_at_the_1960_Summer_Olympics,sport
1206,Swimming_at_the_1964_Summer_Olympics,sport
1207,Swimming_at_the_1968_Summer_Olympics,sport
1208,Swimming_at_the_1972_Summer_Olympics,sport
1209,Swimming_at_the_1976_Summer_Olympics,sport
1210,Swimming_at_the_1980_Summer_Olympics,sport
1211,Swimming_at_the_1984_Summer_Olympics,sport
1212,Swimming_at_the_1988_Summer_Olympics,sport
1213,Swimming_at_the_1992_Summer_Olympics,sport
1214,Swimming_at_the_1996_Summer_Olympics,sport
1215,Swimming_at_the_2000_Summer_Olympics,sport
1216,Swimming_at_the_2004_Summer_Olympics,sport
1217,Swimming_at_the_2004_Summer_Paralympics,sport
1218,Swimming_at_the_2008_Summer_Olympics,sport
1219,Swimming_at_the_2008_Summer_Paralympics,sport
1220,Swimming_at_the_2012_Summer_Olympics,sport
1221,Swimming_at_the_2012_Summer_Paralympics,sport
1222,Swimming_at_the_2013_World_Aquatics_Championships,sport
1223,Swimming_at_the_2015_World_Aquatics_Championships,sport
1224,Swimming_at_the_2016_Summer_Olympics,sport
1225,Swimming_at_the_2016_Summer_Paralympics,sport
1226,Swimming_at_the_2020_Summer_Olympics,sport
1227,Swiss_Indoors,sport
1228,Swiss_Open_(tennis),sport
1229,Syrian_Civil_War_spillover_in_Lebanon,historical
1230,Syria–Lebanon_campaign,historical
1231,Texas_Revolution,historical
1232,Texas–Indian_wars,historical
1233,Thailand_Masters,sport
1234,The_General_Crisis,historical
1235,The_Great_Game,historical
1236,The_Troubles,historical
1237,Third_Anglo-Mysore_War,historical
1238,Third_Silesian_War,historical
1239,Thirty_Years'_War,historical
1240,Tonkin_campaign,historical
1241,Tour_of_the_Netherlands,sport
1242,Track_and_field_at_the_2011_Military_World_Games,sport
1243,Track_and_field_at_the_2015_Military_World_Games,sport
1244,Tunis_Open,sport
1245,Tunisian_campaign,historical
1246,Turkish_War_of_Independence,historical
1247,UEFA_European_Under-17_Championship,sport
1248,Ukrainian_War_of_Independence,historical
1249,Unification_of_Germany,historical
1250,Unification_of_Saudi_Arabia,historical
1251,United_States_occupation_of_Nicaragua,historical
1252,Venetian–Genoese_wars,historical
1253,Venezuelan_War_of_Independence,historical
1254,Vietnam_War,historical
1255,Volleyball_at_the_2016_Summer_Olympics,sport
1256,WTA_Tier_III_tournaments,sport
1257,WTA_Tier_II_tournaments,sport
1258,WTA_Tier_IV_tournaments,sport
1259,WTA_Tier_I_tournaments,sport
1260,WTA_Tier_V_tournaments,sport
1261,War_in_Afghanistan_(2001–present),historical
1262,War_in_the_Vendée,historical
1263,War_of_1812,historical
1264,War_of_Jenkins'_Ear,historical
1265,War_of_the_Austrian_Succession,historical
1266,War_of_the_Breton_Succession,historical
1267,War_of_the_Fifth_Coalition,historical
1268,War_of_the_First_Coalition,historical
1269,War_of_the_Fourth_Coalition,historical
1270,War_of_the_League_of_Cambrai,historical
1271,War_of_the_Pacific,historical
1272,War_of_the_Polish_Succession,historical
1273,War_of_the_Pyrenees,historical
1274,War_of_the_Second_Coalition,historical
1275,War_of_the_Sicilian_Vespers,historical
1276,War_of_the_Sixth_Coalition,historical
1277,War_of_the_Spanish_Succession,historical
1278,War_of_the_Third_Coalition,historical
1279,War_on_terror,historical
1280,Wars_of_Scottish_Independence,historical
1281,Wars_of_the_Roses,historical
1282,Wars_of_the_Three_Kingdoms,historical
1283,Weightlifting_at_the_1980_Summer_Olympics,sport
1284,Weightlifting_at_the_1992_Summer_Olympics,sport
1285,Weightlifting_at_the_1996_Summer_Olympics,sport
1286,Weightlifting_at_the_2000_Summer_Olympics,sport
1287,Weightlifting_at_the_2004_Summer_Olympics,sport
1288,Weightlifting_at_the_2008_Summer_Olympics,sport
1289,Weightlifting_at_the_2011_Pan_American_Games,sport
1290,Weightlifting_at_the_2012_Summer_Olympics,sport
1291,Weightlifting_at_the_2016_Summer_Olympics,sport
1292,Western_Allied_invasion_of_Germany,historical
1293,Western_Desert_campaign,historical
1294,Western_Front_(World_War_I),historical
1295,Western_Front_(World_War_II),historical
1296,Wheelchair_fencing_at_the_2012_Summer_Paralympics,sport
1297,Williamite_War_in_Ireland,historical
1298,Winter_War,historical
1299,Women's_Stuttgart_Open,sport
1300,World_Championship_Tennis,sport
1301,World_Sportscar_Championship,sport
1302,World_War_I,historical
1303,World_War_II,historical
1304,World_War_II_in_Yugoslavia,historical
1305,Wrestling_at_the_1920_Summer_Olympics,sport
1306,Wrestling_at_the_1924_Summer_Olympics,sport
1307,Wrestling_at_the_1928_Summer_Olympics,sport
1308,Wrestling_at_the_1932_Summer_Olympics,sport
1309,Wrestling_at_the_1936_Summer_Olympics,sport
1310,Wrestling_at_the_1952_Summer_Olympics,sport
1311,Wrestling_at_the_1956_Summer_Olympics,sport
1312,Wrestling_at_the_1960_Summer_Olympics,sport
1313,Wrestling_at_the_1964_Summer_Olympics,sport
1314,Wrestling_at_the_1968_Summer_Olympics,sport
1315,Wrestling_at_the_1972_Summer_Olympics,sport
1316,Wrestling_at_the_1976_Summer_Olympics,sport
1317,Wrestling_at_the_1980_Summer_Olympics,sport
1318,Wrestling_at_the_1984_Summer_Olympics,sport
1319,Wrestling_at_the_1988_Summer_Olympics,sport
1320,Wrestling_at_the_1992_Summer_Olympics,sport
1321,Wrestling_at_the_1996_Summer_Olympics,sport
1322,Wrestling_at_the_2000_Summer_Olympics,sport
1323,Wrestling_at_the_2004_Summer_Olympics,sport
1324,Wrestling_at_the_2008_Summer_Olympics,sport
1325,Wrestling_at_the_2011_Pan_American_Games,sport
1326,Wrestling_at_the_2012_Summer_Olympics,sport
1327,Wrestling_at_the_2015_European_Games,sport
1328,Wrestling_at_the_2016_Summer_Olympics,sport
1329,Wushu_at_the_2018_Asian_Games,sport
1330,Yom_Kippur_War,historical
1331,Yugoslav_Wars,historical
1332,Zhuhai_Open,sport
