,event,type
163,1997_European_Athletics_U23_Championships,sport
164,1997_IAAF_World_Indoor_Championships,sport
165,1997_Summer_Universiade,sport
166,1997_WTA_Tour,sport
167,1997_World_Championships_in_Athletics,sport
168,1997_World_Weightlifting_Championships,sport
169,1998_ATP_Tour,sport
170,1998_Asian_Games,sport
171,1998_CART_FedEx_Championship_Series,sport
172,1998_Commonwealth_Games,sport
173,1998_European_Athletics_Championships,sport
174,1998_European_Athletics_Indoor_Championships,sport
175,1998_Indy_Racing_League,sport
176,1998_United_States_Senate_elections,political
177,1998_WTA_Tour,sport
178,1998_Wimbledon_Championships,sport
179,1998_Winter_Olympics,sport
180,1998_World_Junior_Championships_in_Athletics,sport
181,1998_World_Weightlifting_Championships,sport
182,1999_ATP_Tour,sport
183,1999_All-Africa_Games,sport
184,1999_Asian_Winter_Games,sport
185,1999_Australian_Open,sport
186,1999_CART_season,sport
187,1999_European_Athletics_U23_Championships,sport
188,1999_French_Open,sport
189,1999_IAAF_World_Indoor_Championships,sport
190,1999_NASCAR_Winston_Cup_Series,sport
191,1999_Summer_Universiade,sport
192,1999_US_Open_(tennis),sport
193,1999_WTA_Tour,sport
194,1999_Wimbledon_Championships,sport
195,1999_World_Championships_in_Athletics,sport
196,1999_World_Weightlifting_Championships,sport
197,2000_ATP_Tour,sport
198,2000_Asian_Athletics_Championships,sport
199,2000_European_Athletics_Indoor_Championships,sport
200,2000_NASCAR_Winston_Cup_Series,sport
201,2000_Summer_Olympics,sport
202,2000_United_States_Senate_elections,political
203,2000_WTA_Tour,sport
204,2000_Wimbledon_Championships,sport
205,2000_World_Junior_Championships_in_Athletics,sport
206,2001_ATP_Tour,sport
207,2001_CART_season,sport
208,2001_European_Athletics_U23_Championships,sport
209,2001_IAAF_World_Indoor_Championships,sport
210,2001_Mediterranean_Games,sport
211,2001_NASCAR_Winston_Cup_Series,sport
212,2001_Summer_Universiade,sport
213,2001_WTA_Tour,sport
214,2001_Wimbledon_Championships,sport
215,2001_World_Championships_in_Athletics,sport
216,2001_World_Weightlifting_Championships,sport
217,2002_ATP_Tour,sport
218,2002_African_Championships_in_Athletics,sport
219,2002_Asian_Athletics_Championships,sport
220,2002_Asian_Games,sport
221,2002_CART_season,sport
222,2002_Commonwealth_Games,sport
223,2002_European_Athletics_Championships,sport
224,2002_European_Athletics_Indoor_Championships,sport
225,2002_NASCAR_Winston_Cup_Series,sport
226,2002_United_States_Senate_elections,political
227,2002_WTA_Tour,sport
228,2002_Wimbledon_Championships,sport
229,2002_Winter_Olympics,sport
230,2002_World_Junior_Championships_in_Athletics,sport
231,2002_World_Weightlifting_Championships,sport
232,2003_ATP_Tour,sport
233,2003_All-Africa_Games,sport
234,2003_Asian_Athletics_Championships,sport
235,2003_Asian_Winter_Games,sport
236,2003_CART_season,sport
237,2003_European_Athletics_U23_Championships,sport
238,2003_IAAF_World_Indoor_Championships,sport
239,2003_NASCAR_Winston_Cup_Series,sport
240,2003_Summer_Universiade,sport
241,2003_WTA_Tour,sport
242,2003_World_Championships_in_Athletics,sport
243,2003_World_Weightlifting_Championships,sport
244,2003_invasion_of_Iraq,historical
245,2004_ATP_Tour,sport
246,2004_African_Championships_in_Athletics,sport
247,2004_Champ_Car_season,sport
248,2004_IAAF_World_Indoor_Championships,sport
249,2004_Indian_general_election,political
250,2004_NASCAR_Nextel_Cup_Series,sport
251,2004_Summer_Olympics,sport
252,2004_Summer_Paralympics,sport
253,2004_United_States_Senate_elections,political
254,2004_WTA_Tour,sport
255,2004_Wimbledon_Championships,sport
256,2004_World_Junior_Championships_in_Athletics,sport
257,2004–05_FIS_Alpine_Ski_World_Cup,sport
258,2005_ATP_Tour,sport
259,2005_Asian_Athletics_Championships,sport
260,2005_Atlantic_hurricane_season,sport
261,2005_Champ_Car_season,sport
262,2005_European_Athletics_Indoor_Championships,sport
263,2005_European_Athletics_U23_Championships,sport
264,2005_Mediterranean_Games,sport
265,2005_NASCAR_Nextel_Cup_Series,sport
266,2005_Summer_Universiade,sport
267,2005_UCI_ProTour,sport
268,2005_WTA_Tour,sport
269,2005_Wimbledon_Championships,sport
270,2005_World_Championships_in_Athletics,sport
271,2005_World_Weightlifting_Championships,sport
272,2006_ATP_Tour,sport
273,2006_African_Championships_in_Athletics,sport
274,2006_Asian_Games,sport
275,2006_Australian_Open,sport
276,2006_Central_American_and_Caribbean_Games,sport
277,2006_Champ_Car_season,sport
278,2006_Commonwealth_Games,sport
279,2006_European_Athletics_Championships,sport
280,2006_French_Open,sport
281,2006_IAAF_World_Indoor_Championships,sport
282,2006_NASCAR_Nextel_Cup_Series,sport
283,2006_UCI_ProTour,sport
284,2006_US_Open_(tennis),sport
285,2006_United_States_Senate_elections,political
286,2006_United_States_elections,political
287,2006_WTA_Tour,sport
288,2006_Wimbledon_Championships,sport
289,2006_Winter_Olympics,sport
290,2006_World_Junior_Championships_in_Athletics,sport
291,2006_World_Weightlifting_Championships,sport
292,2007_ATP_Tour,sport
293,2007_All-Africa_Games,sport
294,2007_Asian_Athletics_Championships,sport
295,2007_Asian_Winter_Games,sport
296,2007_Australian_Open,sport
297,2007_Champ_Car_season,sport
298,2007_European_Athletics_Indoor_Championships,sport
299,2007_European_Athletics_U23_Championships,sport
300,2007_French_Open,sport
301,2007_IndyCar_Series,sport
302,2007_NASCAR_Nextel_Cup_Series,sport
303,2007_Summer_Universiade,sport
304,2007_UCI_ProTour,sport
305,2007_US_Open_(tennis),sport
306,2007_WTA_Tour,sport
307,2007_Wimbledon_Championships,sport
308,2007_World_Championships_in_Athletics,sport
309,2007_World_Weightlifting_Championships,sport
310,2008_ATP_Tour,sport
311,2008_African_Championships_in_Athletics,sport
312,2008_Australian_Open,sport
313,2008_Fed_Cup,sport
314,2008_French_Open,sport
315,2008_IAAF_World_Indoor_Championships,sport
316,2008_IndyCar_Series,sport
317,2008_NASCAR_Sprint_Cup_Series,sport
318,2008_Summer_Olympics,sport
319,2008_Summer_Paralympics,sport
320,2008_UCI_ProTour,sport
321,2008_US_Open_(tennis),sport
322,2008_United_States_Senate_elections,political
323,2008_United_States_elections,political
324,2008_WTA_Tour,sport
325,2008_Wimbledon_Championships,sport
326,2008_World_Junior_Championships_in_Athletics,sport
327,2008–09_UCI_Europe_Tour,sport
328,2009_ATP_World_Tour,sport
329,2009_Asian_Athletics_Championships,sport
330,2009_Australian_Open,sport
331,2009_European_Athletics_Indoor_Championships,sport
332,2009_European_Athletics_U23_Championships,sport
333,2009_Fed_Cup,sport
334,2009_French_Open,sport
335,2009_Indian_general_election,political
336,2009_IndyCar_Series,sport
337,2009_Mediterranean_Games,sport
338,2009_NASCAR_Sprint_Cup_Series,sport
339,2009_Summer_Universiade,sport
340,2009_UCI_ProTour,sport
341,2009_US_Open_(tennis),sport
342,2009_WTA_Tour,sport
343,2009_Wimbledon_Championships,sport
344,2009_World_Championships_in_Athletics,sport
345,2009_World_Weightlifting_Championships,sport
346,2009–10_UCI_Europe_Tour,sport
347,2010_ATP_World_Tour,sport
348,2010_African_Championships_in_Athletics,sport
349,2010_Asian_Games,sport
350,2010_Australian_Open,sport
351,2010_Commonwealth_Games,sport
352,2010_European_Athletics_Championships,sport
353,2010_FIFA_World_Cup,sport
354,2010_FIFA_World_Cup_qualification,sport
355,2010_FIFA_World_Cup_qualification_(UEFA),sport
356,2010_French_Open,sport
357,2010_IAAF_World_Indoor_Championships,sport
358,2010_IndyCar_Series,sport
359,2010_NASCAR_Sprint_Cup_Series,sport
360,2010_South_American_Games,sport
361,2010_Summer_Youth_Olympics,sport
362,2010_UCI_ProTour,sport
363,2010_UCI_Track_Cycling_World_Championships,sport
364,2010_US_Open_(tennis),sport
365,2010_United_States_House_of_Representatives_elections,political
366,2010_United_States_Senate_elections,political
367,2010_WTA_Tour,sport
368,2010_Wimbledon_Championships,sport
369,2010_Winter_Olympics,sport
370,2010_World_Junior_Championships_in_Athletics,sport
371,2010_World_Weightlifting_Championships,sport
372,2010–11_UCI_Europe_Tour,sport
373,2010–11_snooker_season,sport
374,2011_ATP_World_Tour,sport
375,2011_All-Africa_Games,sport
376,2011_Asian_Athletics_Championships,sport
377,2011_Asian_Winter_Games,sport
378,2011_Australian_Open,sport
379,2011_European_Athletics_Indoor_Championships,sport
380,2011_European_Athletics_U23_Championships,sport
381,2011_French_Open,sport
382,2011_Games_of_the_Small_States_of_Europe,sport
383,2011_IndyCar_Series,sport
384,2011_Military_World_Games,sport
385,2011_NASCAR_Sprint_Cup_Series,sport
386,2011_Summer_Universiade,sport
387,2011_UCI_Road_World_Championships,sport
388,2011_UCI_World_Tour,sport
389,2011_US_Open_(tennis),sport
390,2011_WTA_Tour,sport
391,2011_Wimbledon_Championships,sport
392,2011_Winter_Universiade,sport
393,2011_World_Championships_in_Athletics,sport
394,2011_World_Rally_Championship,sport
395,2011_World_Short_Track_Speed_Skating_Championships,sport
396,2011_World_Weightlifting_Championships,sport
397,2011_World_Youth_Championships_in_Athletics,sport
398,2011–12_snooker_season,sport
399,2012_ATP_World_Tour,sport
400,2012_African_Championships_in_Athletics,sport
401,2012_Australian_Open,sport
402,2012_European_Athletics_Championships,sport
403,2012_French_Open,sport
404,2012_IAAF_World_Indoor_Championships,sport
405,2012_IndyCar_Series,sport
406,2012_NASCAR_Sprint_Cup_Series,sport
407,2012_Summer_Olympics,sport
408,2012_Summer_Paralympics,sport
409,2012_UCI_Europe_Tour,sport
410,2012_UCI_Road_World_Championships,sport
411,2012_UCI_World_Tour,sport
412,2012_US_Open_(tennis),sport
413,2012_United_States_House_of_Representatives_elections,political
414,2012_United_States_Senate_elections,political
415,2012_WTA_Tour,sport
416,2012_Wimbledon_Championships,sport
417,2012_Winter_Youth_Olympics,sport
418,2012_World_Junior_Championships_in_Athletics,sport
419,2012_World_Rally_Championship,sport
420,2012–13_snooker_season,sport
421,2013_ATP_World_Tour,sport
