,event_name,nb_sub_events,iterations,dataset
1432,http://www.wikidata.org/entity/Q1225409,16,5,wikidata
1437,http://www.wikidata.org/entity/Q152499,16,5,wikidata
1456,http://www.wikidata.org/entity/Q21093842,16,5,wikidata
1460,http://www.wikidata.org/entity/Q2320981,16,5,wikidata
1466,http://www.wikidata.org/entity/Q2992527,16,5,wikidata
1473,http://www.wikidata.org/entity/Q3488959,16,5,wikidata
1487,http://www.wikidata.org/entity/Q477973,16,5,wikidata
1492,http://www.wikidata.org/entity/Q517578,16,5,wikidata
1493,http://www.wikidata.org/entity/Q523154,16,5,wikidata
1500,http://www.wikidata.org/entity/Q729371,16,5,wikidata
1503,http://www.wikidata.org/entity/Q829875,16,5,wikidata
1514,http://www.wikidata.org/entity/Q1080711,15,5,wikidata
1519,http://www.wikidata.org/entity/Q123210,15,5,wikidata
1520,http://www.wikidata.org/entity/Q129864,15,5,wikidata
1522,http://www.wikidata.org/entity/Q134949,15,5,wikidata
1523,http://www.wikidata.org/entity/Q1361929,15,5,wikidata
1525,http://www.wikidata.org/entity/Q1545405,15,5,wikidata
1526,http://www.wikidata.org/entity/Q1560445,15,5,wikidata
1544,http://www.wikidata.org/entity/Q200790,15,5,wikidata
1549,http://www.wikidata.org/entity/Q212658,15,5,wikidata
1551,http://www.wikidata.org/entity/Q21715194,15,5,wikidata
1560,http://www.wikidata.org/entity/Q253684,15,5,wikidata
1561,http://www.wikidata.org/entity/Q26809259,15,5,wikidata
1611,http://www.wikidata.org/entity/Q482979,15,5,wikidata
1617,http://www.wikidata.org/entity/Q550172,15,5,wikidata
1626,http://www.wikidata.org/entity/Q598774,15,5,wikidata
1631,http://www.wikidata.org/entity/Q638530,15,5,wikidata
1638,http://www.wikidata.org/entity/Q68478,15,5,wikidata
1639,http://www.wikidata.org/entity/Q690413,15,5,wikidata
1640,http://www.wikidata.org/entity/Q696823,15,5,wikidata
1642,http://www.wikidata.org/entity/Q72852893,15,5,wikidata
1653,http://www.wikidata.org/entity/Q8729,15,5,wikidata
1664,http://www.wikidata.org/entity/Q1238338,14,5,wikidata
1665,http://www.wikidata.org/entity/Q1262377,14,5,wikidata
1670,http://www.wikidata.org/entity/Q1361354,14,5,wikidata
1672,http://www.wikidata.org/entity/Q1442668,14,5,wikidata
1673,http://www.wikidata.org/entity/Q150229,14,5,wikidata
1674,http://www.wikidata.org/entity/Q151052,14,5,wikidata
1694,http://www.wikidata.org/entity/Q203824,14,5,wikidata
1704,http://www.wikidata.org/entity/Q221519,14,5,wikidata
1706,http://www.wikidata.org/entity/Q233642,14,5,wikidata
1710,http://www.wikidata.org/entity/Q248984,14,5,wikidata
1726,http://www.wikidata.org/entity/Q286436,14,5,wikidata
1736,http://www.wikidata.org/entity/Q3439047,14,5,wikidata
1759,http://www.wikidata.org/entity/Q418151,14,5,wikidata
1770,http://www.wikidata.org/entity/Q475678,14,5,wikidata
1780,http://www.wikidata.org/entity/Q59310280,14,5,wikidata
1784,http://www.wikidata.org/entity/Q617350,14,5,wikidata
1786,http://www.wikidata.org/entity/Q636365,14,5,wikidata
1787,http://www.wikidata.org/entity/Q636771,14,5,wikidata
1792,http://www.wikidata.org/entity/Q685683,14,5,wikidata
1793,http://www.wikidata.org/entity/Q696664,14,5,wikidata
1807,http://www.wikidata.org/entity/Q852365,14,5,wikidata
1814,http://www.wikidata.org/entity/Q945700,14,5,wikidata
1815,http://www.wikidata.org/entity/Q94916,14,5,wikidata
1816,http://www.wikidata.org/entity/Q957532,14,5,wikidata
1822,http://www.wikidata.org/entity/Q1127302,13,5,wikidata
1828,http://www.wikidata.org/entity/Q11954986,13,5,wikidata
1829,http://www.wikidata.org/entity/Q130714,13,5,wikidata
1838,http://www.wikidata.org/entity/Q151018,13,5,wikidata
1840,http://www.wikidata.org/entity/Q151663,13,5,wikidata
1846,http://www.wikidata.org/entity/Q158677,13,5,wikidata
1877,http://www.wikidata.org/entity/Q19682450,13,5,wikidata
1942,http://www.wikidata.org/entity/Q2763,13,5,wikidata
1956,http://www.wikidata.org/entity/Q298864,13,5,wikidata
2010,http://www.wikidata.org/entity/Q540978,13,5,wikidata
2049,http://www.wikidata.org/entity/Q608613,13,5,wikidata
2104,http://www.wikidata.org/entity/Q920894,13,5,wikidata
2111,http://www.wikidata.org/entity/Q123070,12,5,wikidata
2115,http://www.wikidata.org/entity/Q1432624,12,5,wikidata
2120,http://www.wikidata.org/entity/Q15542964,12,5,wikidata
2122,http://www.wikidata.org/entity/Q16362506,12,5,wikidata
2131,http://www.wikidata.org/entity/Q19766176,12,5,wikidata
2138,http://www.wikidata.org/entity/Q221941,12,5,wikidata
2146,http://www.wikidata.org/entity/Q2664602,12,5,wikidata
2157,http://www.wikidata.org/entity/Q29269,12,5,wikidata
2174,http://www.wikidata.org/entity/Q4247016,12,5,wikidata
2176,http://www.wikidata.org/entity/Q430053,12,5,wikidata
2177,http://www.wikidata.org/entity/Q4366849,12,5,wikidata
2181,http://www.wikidata.org/entity/Q51654,12,5,wikidata
2197,http://www.wikidata.org/entity/Q681517,12,5,wikidata
2198,http://www.wikidata.org/entity/Q687572,12,5,wikidata
2200,http://www.wikidata.org/entity/Q696462,12,5,wikidata
2201,http://www.wikidata.org/entity/Q698281,12,5,wikidata
2215,http://www.wikidata.org/entity/Q849176,12,5,wikidata
2220,http://www.wikidata.org/entity/Q1021160,11,5,wikidata
2226,http://www.wikidata.org/entity/Q1186260,11,5,wikidata
2227,http://www.wikidata.org/entity/Q1188816,11,5,wikidata
2229,http://www.wikidata.org/entity/Q1332160,11,5,wikidata
2233,http://www.wikidata.org/entity/Q1501724,11,5,wikidata
2237,http://www.wikidata.org/entity/Q16146587,11,5,wikidata
2255,http://www.wikidata.org/entity/Q1922071,11,5,wikidata
2257,http://www.wikidata.org/entity/Q2001082,11,5,wikidata
2272,http://www.wikidata.org/entity/Q223126,11,5,wikidata
2275,http://www.wikidata.org/entity/Q233507,11,5,wikidata
2286,http://www.wikidata.org/entity/Q2615472,11,5,wikidata
2289,http://www.wikidata.org/entity/Q2704441,11,5,wikidata
2291,http://www.wikidata.org/entity/Q2742886,11,5,wikidata
2301,http://www.wikidata.org/entity/Q2992536,11,5,wikidata
2309,http://www.wikidata.org/entity/Q368689,11,5,wikidata
2312,http://www.wikidata.org/entity/Q371573,11,5,wikidata
2359,http://www.wikidata.org/entity/Q595545,11,5,wikidata
2365,http://www.wikidata.org/entity/Q609836,11,5,wikidata
2377,http://www.wikidata.org/entity/Q666414,11,5,wikidata
2382,http://www.wikidata.org/entity/Q692606,11,5,wikidata
2384,http://www.wikidata.org/entity/Q700533,11,5,wikidata
2388,http://www.wikidata.org/entity/Q750567,11,5,wikidata
2389,http://www.wikidata.org/entity/Q770698,11,5,wikidata
2391,http://www.wikidata.org/entity/Q807741,11,5,wikidata
2399,http://www.wikidata.org/entity/Q886842,11,5,wikidata
2403,http://www.wikidata.org/entity/Q916495,11,5,wikidata
